Date,NAV
30-12-2013,10.36
31-12-2013,10.39
02-01-2014,10.61
03-01-2014,10.66
06-01-2014,10.61
07-01-2014,10.68
08-01-2014,10.71
09-01-2014,10.70
10-01-2014,10.74
13-01-2014,10.70
14-01-2014,10.69
15-01-2014,10.76
16-01-2014,10.88
17-01-2014,10.92
21-01-2014,10.84
22-01-2014,10.89
23-01-2014,10.74
24-01-2014,10.42
27-01-2014,10.18
28-01-2014,10.38
29-01-2014,10.38
30-01-2014,10.39
31-01-2014,10.44
03-02-2014,10.20
04-02-2014,10.07
05-02-2014,10.03
06-02-2014,10.23
07-02-2014,10.51
10-02-2014,10.59
11-02-2014,10.58
12-02-2014,10.67
13-02-2014,10.73
14-02-2014,10.71
18-02-2014,10.86
19-02-2014,10.79
20-02-2014,10.75
21-02-2014,10.86
24-02-2014,11.02
25-02-2014,11.02
26-02-2014,11.04
27-02-2014,11.21
28-02-2014,11.26
03-03-2014,11.19
04-03-2014,11.46
05-03-2014,11.44
06-03-2014,11.62
07-03-2014,11.59
10-03-2014,11.48
11-03-2014,11.52
12-03-2014,11.40
13-03-2014,11.23
14-03-2014,11.00
17-03-2014,11.08
18-03-2014,11.16
19-03-2014,11.31
20-03-2014,11.17
21-03-2014,11.06
24-03-2014,11.03
25-03-2014,10.98
26-03-2014,10.90
27-03-2014,11.06
28-03-2014,11.11
31-03-2014,11.16
01-04-2014,11.24
02-04-2014,11.28
03-04-2014,11.11
04-04-2014,11.09
07-04-2014,10.90
08-04-2014,10.92
09-04-2014,11.02
10-04-2014,10.86
11-04-2014,10.73
14-04-2014,10.57
15-04-2014,10.47
16-04-2014,10.68
17-04-2014,10.74
21-04-2014,10.78
22-04-2014,11.04
23-04-2014,11.02
24-04-2014,10.97
25-04-2014,10.82
28-04-2014,10.65
29-04-2014,10.60
30-04-2014,10.65
01-05-2014,10.69
02-05-2014,10.79
05-05-2014,10.78
06-05-2014,10.76
07-05-2014,10.53
08-05-2014,10.45
09-05-2014,10.48
12-05-2014,10.75
13-05-2014,10.74
14-05-2014,10.80
15-05-2014,10.56
16-05-2014,10.47
19-05-2014,10.51
20-05-2014,10.51
21-05-2014,10.67
22-05-2014,10.85
23-05-2014,10.96
27-05-2014,11.03
28-05-2014,11.05
29-05-2014,11.15
30-05-2014,11.11
02-06-2014,11.12
03-06-2014,11.09
04-06-2014,11.05
05-06-2014,11.14
06-06-2014,11.23
09-06-2014,11.27
10-06-2014,11.26
11-06-2014,11.31
12-06-2014,11.36
13-06-2014,11.48
16-06-2014,11.50
17-06-2014,11.69
18-06-2014,11.80
19-06-2014,11.80
20-06-2014,11.83
23-06-2014,11.75
24-06-2014,11.54
25-06-2014,11.60
26-06-2014,11.71
27-06-2014,11.76
30-06-2014,11.80
01-07-2014,11.78
02-07-2014,11.79
03-07-2014,11.93
07-07-2014,11.73
08-07-2014,11.42
09-07-2014,11.42
10-07-2014,11.30
11-07-2014,11.31
14-07-2014,11.38
15-07-2014,11.32
16-07-2014,11.36
17-07-2014,11.24
18-07-2014,11.37
21-07-2014,11.39
22-07-2014,11.55
23-07-2014,11.49
24-07-2014,11.53
25-07-2014,11.51
28-07-2014,11.54
29-07-2014,11.47
30-07-2014,11.47
31-07-2014,11.23
01-08-2014,11.08
04-08-2014,11.20
05-08-2014,11.24
06-08-2014,11.25
07-08-2014,11.29
08-08-2014,11.22
11-08-2014,11.47
12-08-2014,11.44
13-08-2014,11.56
14-08-2014,11.60
15-08-2014,11.63
18-08-2014,11.75
19-08-2014,11.83
20-08-2014,11.85
21-08-2014,11.80
22-08-2014,11.79
25-08-2014,11.88
26-08-2014,11.84
27-08-2014,11.87
28-08-2014,11.74
29-08-2014,11.77
02-09-2014,11.76
03-09-2014,11.84
04-09-2014,11.91
05-09-2014,11.93
08-09-2014,11.94
09-09-2014,11.66
10-09-2014,11.66
11-09-2014,11.66
12-09-2014,11.62
15-09-2014,11.38
16-09-2014,11.32
17-09-2014,11.36
18-09-2014,11.37
19-09-2014,11.31
22-09-2014,11.17
23-09-2014,11.10
24-09-2014,11.18
25-09-2014,11.05
26-09-2014,11.06
29-09-2014,10.92
30-09-2014,10.82
01-10-2014,10.62
02-10-2014,10.54
03-10-2014,10.60
06-10-2014,10.32
07-10-2014,10.33
08-10-2014,10.29
09-10-2014,10.12
10-10-2014,9.86
13-10-2014,9.75
14-10-2014,9.76
15-10-2014,9.73
16-10-2014,9.73
17-10-2014,9.90
20-10-2014,9.97
21-10-2014,10.14
22-10-2014,10.16
23-10-2014,10.13
24-10-2014,10.13
27-10-2014,9.97
28-10-2014,10.25
29-10-2014,10.24
30-10-2014,10.27
31-10-2014,10.44
03-11-2014,10.40
04-11-2014,10.30
05-11-2014,10.25
06-11-2014,10.12
07-11-2014,10.24
10-11-2014,10.19
11-11-2014,10.18
12-11-2014,10.12
13-11-2014,10.05
14-11-2014,10.10
17-11-2014,10.05
18-11-2014,10.16
19-11-2014,10.18
20-11-2014,10.24
21-11-2014,10.37
24-11-2014,10.44
25-11-2014,10.48
26-11-2014,10.55
28-11-2014,10.28
01-12-2014,9.96
02-12-2014,10.03
03-12-2014,10.08
04-12-2014,10.05
05-12-2014,10.09
08-12-2014,9.95
09-12-2014,9.89
10-12-2014,9.95
11-12-2014,9.91
12-12-2014,9.83
15-12-2014,9.70
16-12-2014,9.60
17-12-2014,9.56
18-12-2014,9.75
19-12-2014,9.61
22-12-2014,9.66
23-12-2014,9.66
24-12-2014,9.69
26-12-2014,9.73
29-12-2014,9.76
30-12-2014,9.69
31-12-2014,9.72
02-01-2015,9.76
05-01-2015,9.58
06-01-2015,9.57
07-01-2015,9.57
08-01-2015,9.77
09-01-2015,9.76
12-01-2015,9.67
13-01-2015,9.72
14-01-2015,9.70
15-01-2015,9.59
16-01-2015,9.56
20-01-2015,9.55
21-01-2015,9.66
22-01-2015,9.69
23-01-2015,9.73
26-01-2015,10.03
27-01-2015,10.16
28-01-2015,10.08
29-01-2015,10.04
30-01-2015,9.97
02-02-2015,10.17
03-02-2015,10.40
04-02-2015,10.39
05-02-2015,10.45
06-02-2015,10.45
09-02-2015,10.41
10-02-2015,10.51
11-02-2015,10.45
12-02-2015,10.59
13-02-2015,10.66
17-02-2015,10.65
18-02-2015,10.65
19-02-2015,10.58
20-02-2015,10.60
23-02-2015,10.62
24-02-2015,10.79
25-02-2015,10.88
26-02-2015,10.91
27-02-2015,10.92
02-03-2015,11.08
03-03-2015,11.19
04-03-2015,11.51
05-03-2015,12.01
06-03-2015,11.75
09-03-2015,11.53
10-03-2015,11.37
11-03-2015,11.35
12-03-2015,11.40
13-03-2015,11.33
16-03-2015,11.39
17-03-2015,11.43
18-03-2015,11.59
19-03-2015,11.58
20-03-2015,11.76
23-03-2015,11.82
24-03-2015,11.85
25-03-2015,11.79
26-03-2015,11.64
27-03-2015,11.64
30-03-2015,11.80
31-03-2015,11.86
01-04-2015,12.01
02-04-2015,12.13
06-04-2015,12.21
07-04-2015,12.21
08-04-2015,12.35
09-04-2015,12.52
10-04-2015,12.54
13-04-2015,12.63
14-04-2015,12.58
15-04-2015,12.67
16-04-2015,12.70
17-04-2015,12.59
20-04-2015,12.46
21-04-2015,12.56
22-04-2015,12.65
23-04-2015,12.78
24-04-2015,12.71
27-04-2015,12.72
28-04-2015,12.78
29-04-2015,12.64
30-04-2015,12.52
01-05-2015,12.50
04-05-2015,12.60
05-05-2015,12.49
06-05-2015,12.49
07-05-2015,12.45
08-05-2015,12.69
11-05-2015,12.73
12-05-2015,12.66
13-05-2015,12.72
14-05-2015,12.76
15-05-2015,12.80
18-05-2015,12.76
19-05-2015,12.72
20-05-2015,12.38
21-05-2015,12.38
22-05-2015,12.38
26-05-2015,12.25
27-05-2015,12.28
28-05-2015,12.19
29-05-2015,11.97
01-06-2015,11.97
02-06-2015,11.98
03-06-2015,12.00
04-06-2015,11.88
05-06-2015,11.81
08-06-2015,11.70
09-06-2015,11.52
10-06-2015,11.66
11-06-2015,11.72
12-06-2015,11.69
15-06-2015,11.57
16-06-2015,11.60
17-06-2015,11.65
18-06-2015,11.73
19-06-2015,11.62
22-06-2015,11.78
23-06-2015,11.85
24-06-2015,11.60
25-06-2015,11.49
26-06-2015,11.37
29-06-2015,11.03
30-06-2015,11.13
01-07-2015,11.14
02-07-2015,11.11
06-07-2015,10.70
07-07-2015,10.39
08-07-2015,10.20
09-07-2015,10.55
10-07-2015,10.86
13-07-2015,11.00
14-07-2015,11.03
15-07-2015,10.87
16-07-2015,10.87
17-07-2015,10.82
20-07-2015,10.89
21-07-2015,10.88
22-07-2015,10.78
23-07-2015,10.70
24-07-2015,10.60
27-07-2015,10.43
28-07-2015,10.47
29-07-2015,10.71
30-07-2015,10.49
31-07-2015,10.53
03-08-2015,10.48
