Date,NAV
2013-12-30,12.06
2013-12-31,12.1
2014-01-02,12.23
2014-01-03,12.37
2014-01-06,12.36
2014-01-07,12.6
2014-01-08,12.68
2014-01-09,12.69
2014-01-10,12.83
2014-01-13,12.69
2014-01-14,12.87
2014-01-15,13.0
2014-01-16,13.08
2014-01-17,12.99
2014-01-21,12.9
2014-01-22,12.99
2014-01-23,12.84
2014-01-24,12.46
2014-01-27,12.24
2014-01-28,12.51
2014-01-29,12.45
2014-01-30,12.49
2014-01-31,12.45
2014-02-03,12.19
2014-02-04,12.15
2014-02-05,12.1
2014-02-06,12.31
2014-02-07,12.5
2014-02-10,12.64
2014-02-11,12.68
2014-02-12,12.75
2014-02-13,12.86
2014-02-14,12.92
2014-02-18,13.13
2014-02-19,13.07
2014-02-20,13.09
2014-02-21,13.15
2014-02-24,13.39
2014-02-25,13.42
2014-02-26,13.61
2014-02-27,13.74
2014-02-28,13.8
2014-03-03,13.65
2014-03-04,14.02
2014-03-05,14.13
2014-03-06,14.35
2014-03-07,14.34
2014-03-10,14.31
2014-03-11,14.19
2014-03-12,14.08
2014-03-13,13.89
2014-03-14,13.76
2014-03-17,13.9
2014-03-18,14.01
2014-03-19,14.02
2014-03-20,13.84
2014-03-21,13.67
2014-03-24,13.48
2014-03-25,13.46
2014-03-26,13.34
2014-03-27,13.25
2014-03-28,13.4
2014-03-31,13.47
2014-04-01,13.7
2014-04-02,13.77
2014-04-03,13.66
2014-04-04,13.45
2014-04-07,13.21
2014-04-08,13.21
2014-04-09,13.41
2014-04-10,13.16
2014-04-11,13.0
2014-04-14,12.83
2014-04-15,12.76
2014-04-16,13.01
2014-04-17,13.05
2014-04-21,13.15
2014-04-22,13.42
2014-04-23,13.35
2014-04-24,13.31
2014-04-25,13.15
2014-04-28,12.91
2014-04-29,12.96
2014-04-30,12.97
2014-05-01,12.99
2014-05-02,13.05
2014-05-05,13.04
2014-05-06,12.97
2014-05-07,12.74
2014-05-08,12.6
2014-05-09,12.64
2014-05-12,12.89
2014-05-13,12.86
2014-05-14,12.83
2014-05-15,12.68
2014-05-16,12.59
2014-05-19,12.68
2014-05-20,12.62
2014-05-21,12.76
2014-05-22,12.95
2014-05-23,13.04
2014-05-27,13.17
2014-05-28,13.19
2014-05-29,13.27
2014-05-30,13.24
2014-06-02,13.22
2014-06-03,13.16
2014-06-04,13.18
2014-06-05,13.33
2014-06-06,13.43
2014-06-09,13.58
2014-06-10,13.55
2014-06-11,13.56
2014-06-12,13.62
2014-06-13,13.68
2014-06-16,13.74
2014-06-17,13.85
2014-06-18,13.91
2014-06-19,13.94
2014-06-20,13.93
2014-06-23,13.81
2014-06-24,13.74
2014-06-25,13.73
2014-06-26,13.78
2014-06-27,13.85
2014-06-30,13.93
2014-07-01,13.96
2014-07-02,13.94
2014-07-03,14.03
2014-07-07,13.83
2014-07-08,13.57
2014-07-09,13.57
2014-07-10,13.43
2014-07-11,13.4
2014-07-14,13.51
2014-07-15,13.47
2014-07-16,13.49
2014-07-17,13.35
2014-07-18,13.44
2014-07-21,13.44
2014-07-22,13.57
2014-07-23,13.54
2014-07-24,13.53
2014-07-25,13.49
2014-07-28,13.46
2014-07-29,13.38
2014-07-30,13.33
2014-07-31,13.02
2014-08-01,12.88
2014-08-04,12.97
2014-08-05,12.99
2014-08-06,12.94
2014-08-07,12.94
2014-08-08,12.94
2014-08-11,13.19
2014-08-12,13.14
2014-08-13,13.26
2014-08-14,13.33
2014-08-15,13.29
2014-08-18,13.41
2014-08-19,13.51
2014-08-20,13.59
2014-08-21,13.54
2014-08-22,13.56
2014-08-25,13.74
2014-08-26,13.75
2014-08-27,13.79
2014-08-28,13.73
2014-08-29,13.79
2014-09-02,13.79
2014-09-03,13.87
2014-09-04,13.91
2014-09-05,13.89
2014-09-08,13.95
2014-09-09,13.79
2014-09-10,13.82
2014-09-11,13.84
2014-09-12,13.74
2014-09-15,13.51
2014-09-16,13.41
2014-09-17,13.49
2014-09-18,13.49
2014-09-19,13.43
2014-09-22,13.27
2014-09-23,13.19
2014-09-24,13.26
2014-09-25,13.12
2014-09-26,13.16
2014-09-29,13.05
2014-09-30,12.93
2014-10-01,12.75
2014-10-02,12.65
2014-10-03,12.7
2014-10-06,12.52
2014-10-07,12.35
2014-10-08,12.42
2014-10-09,12.06
2014-10-10,11.81
2014-10-13,11.58
2014-10-14,11.68
2014-10-15,11.69
2014-10-16,11.73
2014-10-17,11.85
2014-10-20,11.96
2014-10-21,12.22
2014-10-22,12.14
2014-10-23,12.17
2014-10-24,12.13
2014-10-27,12.02
2014-10-28,12.27
2014-10-29,12.3
2014-10-30,12.33
2014-10-31,12.51
2014-11-03,12.46
2014-11-04,12.34
2014-11-05,12.28
2014-11-06,12.18
2014-11-07,12.24
2014-11-10,12.26
2014-11-11,12.23
2014-11-12,12.21
2014-11-13,12.13
2014-11-14,12.14
2014-11-17,12.1
2014-11-18,12.23
2014-11-19,12.22
2014-11-20,12.31
2014-11-21,12.39
2014-11-24,12.46
2014-11-25,12.47
2014-11-26,12.5
2014-11-28,12.15
2014-12-01,11.85
2014-12-02,11.87
2014-12-03,11.91
2014-12-04,11.91
2014-12-05,11.93
2014-12-08,11.73
2014-12-09,11.71
2014-12-10,11.65
2014-12-11,11.62
2014-12-12,11.51
2014-12-15,11.34
2014-12-16,11.19
2014-12-17,11.37
2014-12-18,11.58
2014-12-19,11.56
2014-12-22,11.57
2014-12-23,11.6
2014-12-24,11.62
2014-12-26,11.65
2014-12-29,11.67
2014-12-30,11.6
2014-12-31,11.57
2015-01-02,11.69
2015-01-05,11.46
2015-01-06,11.35
2015-01-07,11.32
2015-01-08,11.54
2015-01-09,11.55
2015-01-12,11.5
2015-01-13,11.54
2015-01-14,11.46
2015-01-15,11.26
2015-01-16,11.3
2015-01-20,11.26
2015-01-21,11.33
2015-01-22,11.41
2015-01-23,11.41
2015-01-26,11.63
2015-01-27,11.62
2015-01-28,11.49
2015-01-29,11.47
2015-01-30,11.42
2015-02-02,11.54
2015-02-03,11.88
2015-02-04,11.81
2015-02-05,11.89
2015-02-06,11.83
2015-02-09,11.81
2015-02-10,11.86
2015-02-11,11.77
2015-02-12,11.92
2015-02-13,12.02
2015-02-17,12.07
2015-02-18,12.13
2015-02-19,12.1
2015-02-20,12.11
2015-02-23,12.11
2015-02-24,12.25
2015-02-25,12.29
2015-02-26,12.29
2015-02-27,12.27
2015-03-02,12.43
2015-03-03,12.33
2015-03-04,12.34
2015-03-05,12.63
2015-03-06,12.52
2015-03-09,12.43
2015-03-10,12.2
2015-03-11,12.18
2015-03-12,12.27
2015-03-13,12.2
2015-03-16,12.2
2015-03-17,12.29
2015-03-18,12.48
2015-03-19,12.5
2015-03-20,12.68
2015-03-23,12.74
2015-03-24,12.75
2015-03-25,12.59
2015-03-26,12.43
2015-03-27,12.49
2015-03-30,12.62
2015-03-31,12.6
2015-04-01,12.67
2015-04-02,12.83
2015-04-06,12.96
2015-04-07,12.96
2015-04-08,13.13
2015-04-09,13.23
2015-04-10,13.27
2015-04-13,13.37
2015-04-14,13.3
2015-04-15,13.32
2015-04-16,13.42
2015-04-17,13.26
2015-04-20,13.2
2015-04-21,13.23
2015-04-22,13.32
2015-04-23,13.38
2015-04-24,13.36
2015-04-27,13.47
2015-04-28,13.51
2015-04-29,13.39
2015-04-30,13.25
2015-05-01,13.28
2015-05-04,13.36
2015-05-05,13.24
2015-05-06,13.22
2015-05-07,13.13
2015-05-08,13.4
2015-05-11,13.48
2015-05-12,13.43
2015-05-13,13.54
