,Date,NAV
0,2013-12-30,17.92
1,2013-12-31,17.9
2,2014-01-02,18.13
3,2014-01-03,18.25
4,2014-01-06,18.08
5,2014-01-07,18.44
6,2014-01-08,18.62
7,2014-01-09,18.53
8,2014-01-10,18.61
9,2014-01-13,17.98
10,2014-01-14,18.7
11,2014-01-15,18.99
12,2014-01-16,19.29
13,2014-01-17,19.05
14,2014-01-21,19.17
15,2014-01-22,19.46
16,2014-01-23,19.09
17,2014-01-24,18.39
18,2014-01-27,18.24
19,2014-01-28,18.7
20,2014-01-29,18.46
21,2014-01-30,18.82
22,2014-01-31,18.72
23,2014-02-03,17.96
24,2014-02-04,18.13
25,2014-02-05,17.92
26,2014-02-06,18.1
27,2014-02-07,18.57
28,2014-02-10,18.84
29,2014-02-11,18.79
30,2014-02-12,18.88
31,2014-02-13,19.24
32,2014-02-14,19.2
33,2014-02-18,19.73
34,2014-02-19,19.41
35,2014-02-20,19.83
36,2014-02-21,19.64
37,2014-02-24,20.03
38,2014-02-25,20.37
39,2014-02-26,20.66
40,2014-02-27,20.84
41,2014-02-28,20.64
42,2014-03-03,20.5
43,2014-03-04,21.28
44,2014-03-05,21.19
45,2014-03-06,21.28
46,2014-03-07,21.17
47,2014-03-10,20.94
48,2014-03-11,20.61
49,2014-03-12,20.85
50,2014-03-13,20.47
51,2014-03-14,20.41
52,2014-03-17,20.66
53,2014-03-18,21.13
54,2014-03-19,21.27
55,2014-03-20,21.37
56,2014-03-21,21.07
57,2014-03-24,20.71
58,2014-03-25,20.77
59,2014-03-26,19.97
60,2014-03-27,19.84
61,2014-03-28,20.0
62,2014-03-31,20.29
63,2014-04-01,20.82
64,2014-04-02,21.0
65,2014-04-03,20.65
66,2014-04-04,20.02
67,2014-04-07,19.44
68,2014-04-08,19.9
69,2014-04-09,20.24
70,2014-04-10,19.41
71,2014-04-11,19.0
72,2014-04-14,19.0
73,2014-04-15,19.02
74,2014-04-16,19.31
75,2014-04-17,19.39
76,2014-04-21,19.67
77,2014-04-22,20.2
78,2014-04-23,19.87
79,2014-04-24,19.88
80,2014-04-25,19.31
81,2014-04-28,18.78
82,2014-04-29,18.83
83,2014-04-30,18.88
84,2014-05-01,18.89
85,2014-05-02,18.86
86,2014-05-05,18.88
87,2014-05-06,18.46
88,2014-05-07,18.05
89,2014-05-08,17.76
90,2014-05-09,17.75
91,2014-05-12,18.19
92,2014-05-13,18.16
93,2014-05-14,17.87
94,2014-05-15,17.56
95,2014-05-16,17.59
96,2014-05-19,17.76
97,2014-05-20,17.51
98,2014-05-21,17.87
99,2014-05-22,18.09
100,2014-05-23,18.32
101,2014-05-27,18.54
102,2014-05-28,18.67
103,2014-05-29,18.96
104,2014-05-30,18.68
105,2014-06-02,18.56
106,2014-06-03,18.43
107,2014-06-04,18.58
108,2014-06-05,18.79
109,2014-06-06,18.75
110,2014-06-09,18.86
111,2014-06-10,18.78
112,2014-06-11,18.88
113,2014-06-12,18.87
114,2014-06-13,19.13
115,2014-06-16,19.56
116,2014-06-17,20.21
117,2014-06-18,20.32
118,2014-06-19,20.16
119,2014-06-20,20.26
120,2014-06-23,20.37
121,2014-06-24,19.94
122,2014-06-25,20.22
123,2014-06-26,20.29
124,2014-06-27,20.4
125,2014-06-30,20.54
126,2014-07-01,20.69
127,2014-07-02,20.52
128,2014-07-03,20.57
129,2014-07-07,20.09
130,2014-07-08,19.68
131,2014-07-09,19.86
132,2014-07-10,19.68
133,2014-07-11,19.72
134,2014-07-14,19.81
135,2014-07-15,19.67
136,2014-07-16,19.64
137,2014-07-17,19.28
138,2014-07-18,19.7
139,2014-07-21,19.84
140,2014-07-22,19.99
141,2014-07-23,19.62
142,2014-07-24,19.54
143,2014-07-25,19.34
144,2014-07-28,19.5
145,2014-07-29,19.44
146,2014-07-30,19.66
147,2014-07-31,19.05
148,2014-08-01,18.96
149,2014-08-04,19.05
150,2014-08-05,19.14
151,2014-08-06,19.37
152,2014-08-07,19.52
153,2014-08-08,19.51
154,2014-08-11,19.92
155,2014-08-12,19.69
156,2014-08-13,19.82
157,2014-08-14,19.95
158,2014-08-15,20.01
159,2014-08-18,20.29
160,2014-08-19,20.42
161,2014-08-20,20.7
162,2014-08-21,20.69
163,2014-08-22,20.81
164,2014-08-25,20.87
165,2014-08-26,20.91
166,2014-08-27,20.85
167,2014-08-28,20.79
168,2014-08-29,20.95
169,2014-09-02,21.09
170,2014-09-03,21.03
171,2014-09-04,21.13
172,2014-09-05,21.13
173,2014-09-08,21.26
174,2014-09-09,20.83
175,2014-09-10,20.81
176,2014-09-11,20.86
177,2014-09-12,20.77
178,2014-09-15,20.05
179,2014-09-16,20.2
180,2014-09-17,20.34
181,2014-09-18,20.39
182,2014-09-19,20.06
183,2014-09-22,19.52
184,2014-09-23,19.47
185,2014-09-24,19.68
186,2014-09-25,19.3
187,2014-09-26,19.47
188,2014-09-29,19.46
189,2014-09-30,19.08
190,2014-10-01,18.6
191,2014-10-02,18.66
192,2014-10-03,18.8
193,2014-10-06,18.19
194,2014-10-07,17.75
195,2014-10-08,18.09
196,2014-10-09,17.31
197,2014-10-10,16.51
198,2014-10-13,15.83
199,2014-10-14,16.03
200,2014-10-15,16.29
201,2014-10-16,16.62
202,2014-10-17,16.66
203,2014-10-20,17.0
204,2014-10-21,17.47
205,2014-10-22,16.99
206,2014-10-23,17.35
207,2014-10-24,17.38
208,2014-10-27,17.15
209,2014-10-28,17.75
210,2014-10-29,17.63
211,2014-10-30,17.73
212,2014-10-31,18.29
213,2014-11-03,18.33
214,2014-11-04,18.11
215,2014-11-05,17.95
216,2014-11-06,17.78
217,2014-11-07,17.66
218,2014-11-10,17.81
219,2014-11-11,17.75
220,2014-11-12,17.65
221,2014-11-13,17.32
222,2014-11-14,17.45
223,2014-11-17,17.28
224,2014-11-18,17.91
225,2014-11-19,17.68
226,2014-11-20,17.84
227,2014-11-21,17.97
228,2014-11-24,18.15
229,2014-11-25,18.11
230,2014-11-26,18.24
231,2014-11-28,17.78
232,2014-12-01,17.2
233,2014-12-02,17.39
234,2014-12-03,17.66
235,2014-12-04,17.55
236,2014-12-05,17.74
237,2014-12-08,17.14
238,2014-12-09,17.37
239,2014-12-10,16.84
240,2014-12-11,16.81
241,2014-12-12,16.54
242,2014-12-15,16.36
243,2014-12-16,16.26
244,2014-12-17,16.66
245,2014-12-18,17.07
246,2014-12-19,17.2
247,2014-12-22,17.29
248,2014-12-23,17.31
249,2014-12-24,17.39
