date,NASDAQ,S&P 500,ETF,Clean Energy,Renewable Energy,Clean Tech Stocks
2014-01-01,8.0,8.0,0.0,21.0,22.0,25.0,5.0
2014-01-02,16.0,11.0,0.0,35.0,34.0,44.0,8.0
2014-01-03,16.0,9.0,0.0,33.0,37.0,42.0,7.0
2014-01-04,7.0,5.0,0.0,23.0,20.0,33.0,7.0
2014-01-05,6.0,4.0,0.0,24.0,22.0,39.0,6.0
2014-01-06,15.0,9.0,0.0,35.0,46.0,61.0,8.0
2014-01-07,17.0,9.0,0.0,35.0,47.0,68.0,9.0
2014-01-08,18.0,9.0,0.0,35.0,49.0,73.0,7.0
2014-01-09,18.0,9.0,0.0,39.0,46.0,70.0,8.0
2014-01-10,18.0,9.0,0.0,35.0,46.0,61.0,8.0
2014-01-11,7.0,5.0,0.0,25.0,20.0,35.0,5.0
2014-01-12,6.0,4.0,0.0,27.0,29.0,42.0,4.0
2014-01-13,17.0,10.0,0.0,33.0,46.0,67.0,7.0
2014-01-14,20.0,11.0,0.0,36.0,53.0,66.0,7.0
2014-01-15,18.0,10.0,0.0,38.0,51.0,68.0,7.0
2014-01-16,20.0,10.0,0.0,35.0,46.0,69.0,7.0
2014-01-17,19.0,9.0,0.0,33.0,49.0,67.0,6.0
2014-01-18,8.0,5.0,0.0,23.0,18.0,37.0,4.0
2014-01-19,6.0,4.0,0.0,21.0,18.0,42.0,4.0
2014-01-20,14.0,7.0,0.0,29.0,41.0,66.0,7.0
2014-01-21,19.0,8.0,0.0,34.0,45.0,70.0,7.0
2014-01-22,20.0,10.0,0.0,35.0,48.0,66.0,8.0
2014-01-23,21.0,10.0,0.0,35.0,47.0,72.0,8.0
2014-01-24,20.0,12.0,0.0,38.0,41.0,64.0,8.0
2014-01-25,8.0,6.0,0.0,20.0,23.0,37.0,5.0
2014-01-26,6.0,5.0,0.0,23.0,27.0,43.0,5.0
2014-01-27,21.0,11.0,0.0,35.0,46.0,69.0,9.0
2014-01-28,20.0,12.0,0.0,35.0,43.0,69.0,8.0
2014-01-29,20.0,11.0,0.0,35.0,40.0,73.0,8.0
