date,QCLN,NASDAQ: QCLN,QCLN Price,"Tesla, Inc.",TSLA,"First Solar, Inc.",FSLR,Rivian Automotive,RIVN,ON Semiconductor Corporation,NASDAQ: ON,Albemarle Corporation,NASDAQ: ALB
2014-01-02,0.0,0.0,0.0,-34.0,5.0,0.0,14.0,0.0,0.0,12.0,2.0,-61.0,37.0
2014-01-03,46.0,0.0,0.0,41.0,2.0,0.0,6.0,0.0,0.0,-12.0,8.0,-37.0,-37.0
2014-01-04,-46.0,0.0,0.0,-23.0,-7.0,0.0,-25.0,0.0,0.0,0.0,-10.0,0.0,41.0
2014-01-05,0.0,0.0,0.0,-18.0,-1.0,0.0,5.0,0.0,0.0,0.0,12.0,0.0,-41.0
2014-01-06,0.0,0.0,0.0,0.0,5.0,16.0,21.0,0.0,13.0,0.0,-5.0,0.0,0.0
2014-01-07,0.0,0.0,0.0,0.0,1.0,-16.0,-10.0,0.0,-13.0,15.0,15.0,23.0,0.0
2014-01-08,0.0,0.0,0.0,0.0,1.0,0.0,-2.0,0.0,0.0,-15.0,-16.0,-23.0,0.0
2014-01-09,0.0,0.0,0.0,0.0,0.0,40.0,1.0,0.0,28.0,0.0,15.0,56.0,0.0
2014-01-10,0.0,0.0,0.0,0.0,0.0,-40.0,8.0,0.0,-28.0,11.0,1.0,-56.0,0.0
2014-01-11,0.0,0.0,0.0,0.0,-6.0,0.0,-22.0,0.0,0.0,-11.0,-11.0,64.0,0.0
2014-01-12,0.0,66.0,0.0,0.0,-1.0,0.0,-7.0,5.0,21.0,0.0,-8.0,-16.0,0.0
2014-01-13,0.0,-66.0,0.0,0.0,6.0,0.0,27.0,-5.0,-21.0,0.0,24.0,-24.0,0.0
2014-01-14,25.0,0.0,0.0,0.0,11.0,0.0,-4.0,0.0,0.0,0.0,-5.0,-24.0,0.0
2014-01-15,-25.0,0.0,0.0,0.0,4.0,0.0,-4.0,0.0,0.0,0.0,-9.0,0.0,0.0
2014-01-16,0.0,0.0,0.0,15.0,-7.0,0.0,-6.0,0.0,0.0,0.0,8.0,0.0,0.0
2014-01-17,38.0,0.0,0.0,-15.0,0.0,0.0,26.0,8.0,0.0,0.0,-12.0,0.0,0.0
2014-01-18,-38.0,0.0,0.0,0.0,-13.0,0.0,-29.0,-8.0,0.0,0.0,-6.0,33.0,0.0
2014-01-19,17.0,0.0,0.0,15.0,0.0,0.0,-10.0,7.0,0.0,0.0,12.0,-33.0,0.0
2014-01-20,-17.0,33.0,32.0,-15.0,3.0,0.0,5.0,-7.0,0.0,0.0,-10.0,0.0,0.0
2014-01-21,0.0,11.0,-32.0,0.0,7.0,0.0,19.0,0.0,0.0,13.0,19.0,0.0,0.0
2014-01-22,92.0,-44.0,0.0,0.0,-1.0,0.0,-2.0,18.0,0.0,-13.0,1.0,27.0,0.0
2014-01-23,-92.0,0.0,0.0,0.0,1.0,19.0,-4.0,-18.0,0.0,19.0,4.0,-27.0,0.0
2014-01-24,0.0,0.0,33.0,0.0,-1.0,-19.0,9.0,9.0,0.0,-19.0,-14.0,0.0,0.0
2014-01-25,0.0,0.0,12.0,0.0,-9.0,25.0,-22.0,-9.0,0.0,0.0,11.0,0.0,0.0
2014-01-26,0.0,0.0,-45.0,0.0,0.0,-8.0,-5.0,0.0,14.0,0.0,6.0,0.0,0.0
2014-01-27,16.0,0.0,0.0,0.0,7.0,14.0,24.0,5.0,5.0,14.0,-6.0,0.0,0.0
2014-01-28,-16.0,0.0,0.0,0.0,1.0,-31.0,-12.0,1.0,-19.0,-14.0,-3.0,25.0,70.0
2014-01-29,0.0,0.0,0.0,8.0,-1.0,0.0,2.0,-6.0,0.0,0.0,-17.0,-25.0,-70.0
2014-01-30,0.0,0.0,0.0,-8.0,1.0,0.0,7.0,0.0,0.0,0.0,11.0,22.0,0.0
2014-01-31,0.0,0.0,0.0,0.0,1.0,52.0,10.0,0.0,0.0,0.0,9.0,69.0,0.0
2014-02-01,75.0,0.0,0.0,0.0,-8.0,-52.0,-22.0,6.0,0.0,0.0,-21.0,-91.0,0.0
2014-02-02,-75.0,0.0,0.0,0.0,-2.0,0.0,-9.0,4.0,0.0,0.0,-9.0,0.0,0.0
2014-02-03,0.0,0.0,0.0,0.0,7.0,11.0,15.0,-6.0,14.0,0.0,22.0,0.0,18.0
2014-02-04,24.0,62.0,0.0,0.0,2.0,-11.0,-4.0,-4.0,-14.0,0.0,3.0,23.0,-18.0
2014-02-05,-24.0,-62.0,0.0,0.0,-1.0,0.0,-1.0,0.0,19.0,0.0,5.0,-23.0,0.0
2014-02-06,0.0,0.0,0.0,10.0,-2.0,0.0,20.0,0.0,-19.0,0.0,-9.0,63.0,30.0
2014-02-07,0.0,0.0,0.0,5.0,2.0,35.0,-13.0,0.0,28.0,33.0,17.0,-63.0,-30.0
2014-02-08,0.0,0.0,0.0,-15.0,-7.0,-35.0,-12.0,0.0,1.0,-33.0,-24.0,0.0,0.0
2014-02-09,0.0,0.0,25.0,0.0,0.0,0.0,3.0,0.0,-29.0,0.0,2.0,68.0,0.0
2014-02-10,0.0,0.0,-25.0,14.0,12.0,0.0,2.0,0.0,23.0,0.0,5.0,-41.0,0.0
2014-02-11,0.0,0.0,0.0,-14.0,2.0,0.0,14.0,4.0,-23.0,0.0,7.0,31.0,0.0
2014-02-12,0.0,0.0,0.0,0.0,-3.0,0.0,3.0,3.0,0.0,0.0,5.0,-58.0,0.0
2014-02-13,17.0,0.0,0.0,0.0,-1.0,0.0,-5.0,-7.0,0.0,0.0,-13.0,0.0,25.0
2014-02-14,27.0,0.0,0.0,0.0,3.0,0.0,-5.0,0.0,0.0,0.0,-6.0,57.0,-25.0
2014-02-15,-26.0,0.0,0.0,0.0,-12.0,0.0,-17.0,0.0,23.0,0.0,6.0,-9.0,18.0
2014-02-16,1.0,29.0,33.0,25.0,-1.0,0.0,5.0,0.0,-6.0,12.0,5.0,-48.0,17.0
2014-02-17,-19.0,-29.0,-33.0,-25.0,3.0,0.0,0.0,0.0,-17.0,-12.0,-6.0,0.0,-35.0
2014-02-18,0.0,0.0,0.0,0.0,12.0,13.0,34.0,0.0,43.0,0.0,-20.0,0.0,16.0
2014-02-19,0.0,0.0,0.0,0.0,17.0,10.0,-9.0,0.0,-43.0,0.0,27.0,28.0,-16.0
2014-02-20,13.0,0.0,0.0,0.0,3.0,-23.0,-4.0,0.0,16.0,0.0,-11.0,-28.0,0.0
2014-02-21,-13.0,59.0,0.0,0.0,-17.0,0.0,4.0,0.0,-16.0,0.0,13.0,34.0,0.0
2014-02-22,0.0,-2.0,0.0,23.0,-15.0,0.0,-20.0,0.0,0.0,0.0,-34.0,13.0,0.0
2014-02-23,0.0,11.0,0.0,-23.0,-2.0,0.0,1.0,0.0,0.0,0.0,17.0,-47.0,0.0
2014-02-24,0.0,-68.0,0.0,0.0,12.0,0.0,29.0,0.0,0.0,0.0,-6.0,0.0,0.0
2014-02-25,0.0,0.0,0.0,0.0,26.0,22.0,30.0,0.0,0.0,0.0,17.0,29.0,25.0
2014-02-26,0.0,32.0,0.0,14.0,1.0,-22.0,18.0,0.0,0.0,0.0,12.0,-29.0,5.0
2014-02-27,0.0,-32.0,22.0,-14.0,-3.0,0.0,-47.0,12.0,0.0,0.0,-5.0,0.0,-9.0
2014-02-28,18.0,0.0,-22.0,0.0,-14.0,25.0,-5.0,-6.0,0.0,0.0,1.0,0.0,-21.0
2014-03-01,-18.0,0.0,0.0,9.0,-17.0,32.0,-26.0,-6.0,0.0,0.0,-5.0,41.0,0.0
2014-03-02,0.0,0.0,0.0,-9.0,-3.0,-57.0,1.0,0.0,0.0,0.0,-22.0,-41.0,0.0
2014-03-03,0.0,0.0,0.0,17.0,16.0,0.0,16.0,0.0,17.0,0.0,18.0,19.0,0.0
2014-03-04,0.0,33.0,0.0,-17.0,-1.0,0.0,-5.0,0.0,-17.0,9.0,-7.0,-19.0,0.0
2014-03-05,0.0,-33.0,41.0,0.0,-2.0,0.0,-2.0,0.0,8.0,-9.0,4.0,0.0,0.0
2014-03-06,0.0,51.0,-41.0,0.0,-2.0,18.0,-3.0,0.0,-8.0,7.0,14.0,0.0,20.0
