file,Model,shift,RMSE SENT,RMSE,pc,DM MSE,p_value MSE
ICLN,cnnlstm,1,0.0060185713758758,0.0060414178795363,-0.003781645983768,-0.0598515184972355,0.9523219010039324
PBD,cnnlstm,1,0.0081583661209502,0.0078107522881462,0.0445045265782679,-9.23514415249252,1.1719424910913965e-17
QCLN,cnnlstm,1,0.0128744963575472,0.0117881540782527,0.0921554190828366,-9.260977563301063,9.790392357774124e-18
ICLN,cnnlstm,3,0.0092511895413409,0.0090223873666007,0.0253593827712574,-8.113998713805161,2.2492695702960344e-14
PBD,cnnlstm,3,0.008595311037336,0.0082244136781603,0.0450971186141293,-8.033919619925822,3.7832705547905406e-14
QCLN,cnnlstm,3,0.0123126271273915,0.0121420165658095,0.0140512542259571,-8.280666012422326,7.55245085568116e-15
ICLN,cnnlstm,5,0.0090297279140022,0.0092356713144569,-0.022298693126106,-7.688670416046746,3.442374463034311e-13
PBD,cnnlstm,5,0.0084580002293497,0.0082058383172582,0.0307295735478019,-8.331018167064723,5.418415271170589e-15
QCLN,cnnlstm,5,0.0127769983556386,0.0108688363064137,0.1755626817287586,-11.050825061676177,2.3093065002664732e-23
ICLN,cnnlstm-ahead_Return,1,0.006809305439454,0.0075599858186128,-0.0992965327144687,-1.5840431825671637,0.1144531081127558
PBD,cnnlstm-ahead_Return,1,0.0051265226074316,0.0064864237374626,-0.2096534523603223,-3.174542319142841,0.0016896885761674
QCLN,cnnlstm-ahead_Return,1,0.0075912812788128,0.0110865572345793,-0.3152715384776636,-4.80766826441245,2.6440080746303046e-06
ICLN,cnnlstm-ahead_Return,3,0.0062974142672123,0.0081327397421034,-0.2256712415607704,-2.4963570540127784,0.0131950348243761
PBD,cnnlstm-ahead_Return,3,0.0060247985759815,0.0075780024916998,-0.2049621806563894,-3.380658286741247,0.0008394151424273
QCLN,cnnlstm-ahead_Return,3,0.0082963859750114,0.0100733109835714,-0.1763993002358452,-3.1841057832065247,0.0016369743627826
ICLN,cnnlstm-ahead_Return,5,0.0059489422358463,0.0087013782923182,-0.3163218474137411,-3.716052690973748,0.0002499010201386
PBD,cnnlstm-ahead_Return,5,0.0058713558968977,0.0074923823722677,-0.2163566132676449,-3.361975173593458,0.0008956421566242
QCLN,cnnlstm-ahead_Return,5,0.008289339741004322,0.009890368730781014,-0.1618775834710728,-3.315443299365173,0.0010513079997667566
